tweet_id,timestamp,name,tweet_source,ratings,dog_stages,jpg_url,img_num,breed,confidence,retweet_count,favorite_count
892420643555336193,2017-08-01 16:23:56+00:00,Phineas,Twitter for iPhone,1.3,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,none,0.0,8853,39467
892177421306343426,2017-08-01 00:17:27+00:00,Tilly,Twitter for iPhone,1.3,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,Chihuahua,0.323581,6514,33819
891815181378084864,2017-07-31 00:18:03+00:00,Archie,Twitter for iPhone,1.2,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,Chihuahua,0.716012,4328,25461
891689557279858688,2017-07-30 15:58:51+00:00,Darla,Twitter for iPhone,1.3,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,Labrador_retriever,0.168086,8964,42908
891327558926688256,2017-07-29 16:00:24+00:00,Franklin,Twitter for iPhone,1.2,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,basset,0.555712,9774,41048
890971913173991426,2017-07-28 16:27:12+00:00,Jax,Twitter for iPhone,1.3,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,Appenzeller,0.34170300000000003,2158,12041
890609185150312448,2017-07-27 16:25:51+00:00,Zoey,Twitter for iPhone,1.3,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,Irish_terrier,0.487574,4429,28226
890240255349198849,2017-07-26 15:59:51+00:00,Cassie,Twitter for iPhone,1.4,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,Pembroke,0.511319,7711,32467
890006608113172480,2017-07-26 00:31:25+00:00,Koda,Twitter for iPhone,1.3,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,Samoyed,0.957979,7624,31166
889880896479866881,2017-07-25 16:11:53+00:00,Bruno,Twitter for iPhone,1.3,,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1.0,French_bulldog,0.377417,5156,28268
889638837579907072,2017-07-25 00:10:02+00:00,Ted,Twitter for iPhone,1.2,,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1.0,French_bulldog,0.99165,4735,27672
889531135344209921,2017-07-24 17:02:04+00:00,Stuart,Twitter for iPhone,1.3,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1.0,golden_retriever,0.953442,2321,15359
889278841981685760,2017-07-24 00:19:32+00:00,Oliver,Twitter for iPhone,1.3,,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1.0,whippet,0.626152,5637,25652
888917238123831296,2017-07-23 00:22:39+00:00,Jim,Twitter for iPhone,1.2,,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1.0,golden_retriever,0.714719,4709,29611
888804989199671297,2017-07-22 16:56:37+00:00,Zeke,Twitter for iPhone,1.3,,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1.0,golden_retriever,0.46976,4559,26080
888554962724278272,2017-07-22 00:23:06+00:00,Ralphus,Twitter for iPhone,1.3,,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3.0,Siberian_husky,0.700377,3732,20290
888078434458587136,2017-07-20 16:49:33+00:00,Gerald,Twitter for iPhone,1.2,,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1.0,French_bulldog,0.995026,3653,22201
887705289381826560,2017-07-19 16:06:48+00:00,Jeffrey,Twitter for iPhone,1.3,,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1.0,basset,0.821664,5609,30779
887473957103951883,2017-07-19 00:47:34+00:00,Canela,Twitter for iPhone,1.3,,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2.0,Pembroke,0.809197,18781,69871
